Unnamed: 0,Exp Count,Kill,Cluster,Label
445,0.130908929,3.785449865,0,Unknown
446,0.190298302,3.90671219,0,Unknown
447,0.238636147,4.102268998,0,Unknown
448,0.125475166,3.570338811,0,Unknown
449,0.116278975,3.848834077,0,Unknown
450,0.187499854,3.832028256,0,Unknown
451,0.190812444,4.007061333,0,Unknown
452,0.184782388,3.847821486,0,Unknown
453,0.103053345,3.767172265,0,Unknown
454,0.169172754,3.766913328,0,Unknown
455,0.158415528,3.999992079,0,Unknown
456,0.17213107,3.995899838,0,Unknown
457,0.198529185,3.805142722,0,Unknown
458,0.110204037,3.563263852,0,Unknown
459,0.102127651,3.319148654,0,Unknown
460,0.234374817,3.960934406,0,Unknown
461,0.184931209,4.325335504,0,Unknown
462,0.220689503,3.868962849,0,Unknown
463,0.103053345,3.812973752,0,Unknown
464,0.122950764,3.319670635,0,Unknown
465,0.143911269,3.40959007,0,Unknown
466,0.111486302,4.01350687,0,Unknown
467,0.157434035,3.769670508,0,Unknown
468,0.086419721,3.481480192,0,Unknown
469,0.202846708,3.939496592,0,Unknown
470,0.192856881,3.974994605,0,Unknown
471,0.194069558,3.557941892,0,Unknown
472,0.135802419,3.777776379,0,Unknown
473,0.22007705,3.857139879,0,Unknown
474,0.170212531,3.882973353,0,Unknown
475,0.193916165,4.072239475,0,Unknown
476,0.19615368,3.934612055,0,Unknown
477,0.185915074,3.633794628,0,Unknown
478,0.218390604,3.827582687,0,Unknown
479,0.174418463,3.906973564,0,Unknown
480,0.123134195,3.973876297,0,Unknown
481,0.184615228,3.8999967,0,Unknown
482,0.152073803,3.179724968,0,Unknown
483,0.141304179,3.52173492,0,Unknown
484,0.146067268,3.943816237,0,Unknown
485,0.122222086,3.933328963,0,Unknown
486,0.154761813,3.523807426,0,Unknown
487,0.128571254,4.114280131,0,Unknown
488,0.167330571,3.693224737,0,Unknown
489,0.138210933,3.666654743,0,Unknown
490,0.161538325,3.911535152,0,Unknown
491,0.097560928,3.597559221,0,Unknown
492,0.119521836,3.776890023,0,Unknown
493,0.156716248,4.085816474,0,Unknown
494,0.148935964,3.914888203,0,Unknown
495,0.324137707,3.95861796,0,Unknown
496,0.124999886,3.488633192,0,Unknown
497,0.199999619,3.704754848,0,Unknown
498,0.183205946,3.755721894,0,Unknown
499,0.166666424,3.854161046,0,Unknown
500,0.168141147,3.973440778,0,Unknown
501,0.131999926,3.647997957,0,Unknown
502,0.175531401,3.917541731,0,Unknown
503,0.105468668,3.703122107,0,Unknown
504,0.210331855,4.129146416,0,Unknown
505,0.155014868,3.993912475,0,Unknown
506,0.171919377,3.713458536,0,Unknown
507,0.16935475,3.689514195,0,Unknown
508,0.150627571,3.389120346,0,Unknown
509,0.153191476,3.625531606,0,Unknown
510,0.104166515,3.760411183,0,Unknown
511,0.218542757,4.281451283,0,Unknown
512,0.050420157,3.428570708,0,Unknown
513,0.083665285,3.848603124,0,Unknown
514,0.158536508,3.695120149,0,Unknown
515,0.145713869,3.634275331,0,Unknown
516,0.160714068,3.889280436,0,Unknown
517,0.114503716,3.675569292,0,Unknown
518,0.204300812,4.107521582,0,Unknown
519,0.133135819,4.28697337,0,Unknown
520,0.077205794,3.915436714,0,Unknown
521,0.087866083,3.740584678,0,Unknown
522,0.138075273,3.351463454,0,Unknown
523,0.251045952,3.903764547,0,Unknown
524,0.119999933,3.347998125,0,Unknown
525,0.132530041,3.51807017,0,Unknown
526,0.203389796,3.826270538,0,Unknown
527,0.147727138,4.147723502,0,Unknown
528,0.127413029,3.694977842,0,Unknown
529,0.162162037,3.891888887,0,Unknown
530,0.135541883,3.8584256,0,Unknown
531,0.142499715,3.847492305,0,Unknown
532,0.17374504,3.9498039,0,Unknown
533,0.095617469,3.621511636,0,Unknown
534,0.17777758,3.95555116,0,Unknown
